Order ID,Order Date,CustomerName,State,City
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore
B-25656,11-05-2018,Priyanka,Maharashtra,Pune
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal
B-25658,14-05-2018,Shefali,Rajasthan,Jaipur
B-25659,15-05-2018,Sanskriti,West Bengal,Kolkata
B-25660,16-05-2018,Shruti,Karnataka,Bangalore
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai
B-25663,19-05-2018,Pournamasi,Madhya Pradesh,Indore
B-25664,20-05-2018,Pratyusmita,Bihar,Patna
B-25665,21-05-2018,Chayanika,Kerala ,Thiruvananthapuram
B-25666,22-05-2018,Tanvi,Punjab,Chandigarh
B-25667,23-05-2018,Anjali,Haryana,Chandigarh
B-25668,24-05-2018,Rhea,Himachal Pradesh,Simla
B-25669,25-05-2018,Piyali,Sikkim,Gangtok
B-25670,25-05-2018,Charika,Goa,Goa
B-25671,27-05-2018,Mitali,Nagaland,Kohima
B-25672,28-05-2018,Akanksha,Andhra Pradesh,Hyderabad
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad
B-25674,28-05-2018,Mahima,Maharashtra,Pune
B-25675,31-05-2018,Shreya,Madhya Pradesh,Bhopal
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur
B-25677,02-06-2018,Ekta,West Bengal,Kolkata
B-25678,03-06-2018,Bathina,Karnataka,Bangalore
B-25679,04-06-2018,Avni,Maharashtra,Mumbai
B-25680,04-06-2018,Aayushi,Madhya Pradesh,Indore
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore
B-25682,07-06-2018,Krutika,Bihar,Patna
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram
B-25684,09-06-2018,Samiksha,Maharashtra,Mumbai
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai
B-25688,11-06-2018,Swetha,Madhya Pradesh,Indore
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai
B-25690,15-06-2018,Gunjan,Madhya Pradesh,Indore
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai
B-25692,17-06-2018,Rashmi,Madhya Pradesh,Indore
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal
B-25694,18-06-2018,Subhasmita,Rajasthan,Jaipur
B-25695,18-06-2018,Suhani,West Bengal,Kolkata
B-25696,21-06-2018,Noopur,Karnataka,Bangalore
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai
